frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,entry_time
217,2.0,[649.434396972676 395.1766948900498 1277.7304012999311 870.498874832719],[824.1009521484375 717.2492065429688 1014.90673828125 775.9868774414062],0.5981875658035278,KA02MM9091,0.9920614557620397,2024-05-04 10:35:33,
218,2.0,[647.6139032187558 393.7234966148671 1278.5140623894881 872.1930457858309],[824.1044311523438 717.243896484375 1014.8992309570312 775.9940185546875],0.5981447696685791,KA02MM9091,0.9920614557620397,2024-05-04 10:35:33,
219,2.0,[646.5335435821819 392.55145599143896 1279.1701593615858 873.2510080786313],[824.0863037109375 717.2178344726562 1014.9223022460938 775.9903564453125],0.5968738198280334,KA02MM9091,0.9920614557620397,2024-05-04 10:35:33,
220,2.0,[645.911399471287 391.6864039612416 1279.7775948028855 874.036581327112],[824.0150756835938 717.2552490234375 1014.9129638671875 775.9866943359375],0.594767689704895,KA02MM9091,0.9920614557620397,2024-05-04 10:35:33,
221,2.0,[645.6671567346289 391.04980182929035 1280.4491566191407 874.5075699917472],[824.0233154296875 717.22900390625 1014.8867797851562 776.0077514648438],0.5949976444244385,KA02MM9091,0.9920614557620397,2024-05-04 10:35:33,
222,2.0,[645.6195002833927 390.5771135028774 1281.1683704901434 874.8262398453016],[824.0364990234375 717.2265625 1014.9166259765625 776.0072631835938],0.5951601266860962,KA02MM9091,0.9920614557620397,2024-05-04 10:35:33,
223,2.0,[645.3642590591414 390.25769191318784 1281.4251962471587 875.0338960415683],[824.0073852539062 717.2163696289062 1014.9296264648438 776.011962890625],0.5937396287918091,KA02MM9091,0.9920614557620397,2024-05-04 10:35:33,
224,2.0,[629.1110990235991 393.56180906125644 1269.2466425846058 886.3942868887676],[813.7313232421875 734.8804321289062 1011.2508544921875 796.2821044921875],0.645289957523346,KA02MM9091,0.9605462122756266,2024-05-04 10:35:33,
225,2.0,[622.4152745981919 393.32080374141947 1265.361864660192 891.9543204558652],[813.7412109375 734.8792114257812 1011.2618408203125 796.2742919921875],0.6446024179458618,KA02MM9091,0.9605462122756266,2024-05-04 10:35:33,
226,2.0,[619.3675019586456 392.12016382722345 1264.4279339198454 894.9856711248813],[813.7330322265625 734.8936157226562 1011.2439575195312 796.2687377929688],0.6444587707519531,KA02MM9091,0.9605462122756266,2024-05-04 10:35:33,
227,2.0,[618.1285620982476 391.0116242691 1264.6468970574304 896.908830019696],[813.7366333007812 734.8817138671875 1011.2865600585938 796.2813720703125],0.6446657180786133,KA02MM9091,0.9605462122756266,2024-05-04 10:35:33,
228,2.0,[617.4595522856257 390.0260629227451 1265.0577992813787 898.0632493985158],[813.7276611328125 734.8925170898438 1011.2517700195312 796.2764282226562],0.6443285942077637,KA02MM9091,0.9605462122756266,2024-05-04 10:35:33,
229,2.0,[617.1968530978577 389.2078636022295 1265.5189522853127 898.8239669064033],[813.7071533203125 734.8936157226562 1011.2911376953125 796.2782592773438],0.6440878510475159,KA02MM9091,0.9605462122756266,2024-05-04 10:35:33,
230,2.0,[596.415767540771 391.51115782362325 1258.1279975361638 912.1451281353075],[784.0374755859375 761.7103271484375 1002.10400390625 825.1217651367188],0.5935087203979492,KA02MM9091,0.8962532693013213,2024-05-04 10:35:33,
231,2.0,[586.3832033812594 390.4047609557708 1257.6541430869206 918.9354726189836],[784.027099609375 761.693115234375 1002.1296997070312 825.1292724609375],0.5934720635414124,KA02MM9091,0.8962532693013213,2024-05-04 10:35:33,
232,2.0,[580.6367938401472 388.82219314711693 1258.9860505869244 923.35849369005],[784.070068359375 761.68359375 1002.1973876953125 825.13916015625],0.5930201411247253,KA02MM9091,0.6360653526134983,2024-05-04 10:35:33,
233,2.0,[577.319674258259 387.1659085643716 1260.7663378942261 926.0529480402615],[784.0676879882812 761.7073974609375 1002.1942749023438 825.1417236328125],0.5925650596618652,KA02MM9091,0.6360653526134983,2024-05-04 10:35:33,
234,2.0,[575.3093594753134 385.6999988613814 1262.4131159678586 927.6937325539843],[784.0401000976562 761.6953125 1002.2135620117188 825.145751953125],0.5922009944915771,KA02MM9091,0.6360653526134983,2024-05-04 10:35:33,
235,2.0,[573.9901566015415 384.5501677380942 1263.7897380184854 928.7865948361127],[784.0457153320312 761.7110595703125 1002.2019653320312 825.1431884765625],0.592298686504364,KA02MM9091,0.6360653526134983,2024-05-04 10:35:33,
236,2.0,[573.1652089012904 383.64563730952585 1264.8617010330004 929.4787954693859],[784.0416870117188 761.7046508789062 1002.2067260742188 825.1375122070312],0.5917525887489319,KA02MM9091,0.6360653526134983,2024-05-04 10:35:33,
237,2.0,[544.0672437842688 392.2354343696145 1255.9295757139187 951.6092892061804],[735.8944702148438 793.9183959960938 968.7152709960938 867.7084350585938],0.57980877161026,KA02MM9091,0.9921377081943411,2024-05-04 10:35:33,
238,2.0,[529.7264574129923 393.29639488259505 1256.001200957423 962.2972472474289],[735.8958129882812 793.8693237304688 968.7266845703125 867.7377319335938],0.5788955092430115,KA02MM9091,0.992540655158775,2024-05-04 10:35:33,
239,2.0,[521.9692540370507 391.9834224635497 1258.627113175262 967.7666425847885],[735.9110107421875 793.8753662109375 968.7490234375 867.744140625],0.5806209444999695,KA02MM9091,0.9928838640022583,2024-05-04 10:35:33,
